asset_id,category,subcategory,name_en,name_ko,file_format,size,animation_required,animation_type,priority,notes
# UI Icons - Currency & Resources
ui_icon_exp,ui,currency,Experience Icon,경험치 아이콘,png,64x64,no,none,critical,Star or XP symbol
ui_icon_money,ui,currency,Money Icon,돈 아이콘,png,64x64,no,none,critical,Coin or dollar symbol
ui_icon_level,ui,status,Level Icon,레벨 아이콘,png,64x64,no,none,high,Level badge
ui_icon_stage,ui,status,Stage Icon,스테이지 아이콘,png,64x64,no,none,high,Rocket or progress symbol

# UI Icons - Buttons
ui_btn_click,ui,button,Main Click Button,메인 클릭 버튼,png,256x256,yes,press_release,critical,Different states for pressed
ui_btn_upgrade,ui,button,Upgrade Button,업그레이드 버튼,png,128x64,yes,hover_press,high,Normal/hover/pressed/disabled
ui_btn_prestige,ui,button,Prestige Button,환생 버튼,png,128x64,yes,glow_pulse,medium,Glowing effect
ui_btn_settings,ui,button,Settings Button,설정 버튼,png,64x64,no,none,low,Gear icon
ui_btn_achievement,ui,button,Achievement Button,업적 버튼,png,64x64,no,none,low,Trophy icon

# Stage Backgrounds
bg_stage_01,background,stage,Indie Developer Room,인디 개발자 방,jpg,1920x1080,no,none,critical,Simple desk with old computer
bg_stage_02,background,stage,Mobile Dev Office,모바일 개발 사무실,jpg,1920x1080,no,none,critical,Small office space
bg_stage_03,background,stage,PC Game Studio,PC 게임 스튜디오,jpg,1920x1080,no,none,high,Professional studio
bg_stage_04,background,stage,VR Lab,VR 연구실,jpg,1920x1080,no,none,high,High-tech VR equipment
bg_stage_05,background,stage,AI Research Center,AI 연구센터,jpg,1920x1080,no,none,medium,Server rooms and screens
bg_stage_06,background,stage,Robot Factory,로봇 공장,jpg,1920x1080,no,none,medium,Assembly lines
bg_stage_07,background,stage,Rocket Launch Site,로켓 발사장,jpg,1920x1080,no,none,medium,Space center
bg_stage_08,background,stage,Space Station,우주 정거장,jpg,1920x1080,no,none,low,Earth view from space
bg_stage_09,background,stage,Black Hole Observatory,블랙홀 관측소,jpg,1920x1080,no,none,low,Deep space view
bg_stage_10,background,stage,Time Dimension,시공간 차원,jpg,1920x1080,yes,animated_bg,low,Animated abstract background

# Click Zone Visuals
click_zone_01,gameplay,click_zone,Computer Screen,컴퓨터 화면,png,512x512,yes,idle_animation,critical,Old CRT monitor
click_zone_02,gameplay,click_zone,Smartphone,스마트폰,png,512x512,yes,idle_animation,critical,Modern phone
click_zone_03,gameplay,click_zone,Gaming PC,게이밍 PC,png,512x512,yes,idle_animation,high,RGB lighting effects
click_zone_04,gameplay,click_zone,VR Headset,VR 헤드셋,png,512x512,yes,idle_animation,high,Futuristic VR device
